t,control_x,control_y,control_z,base_x,base_y,base_z,control_minus_base_x,control_minus_base_y,control_minus_base_z,control_base_distance,min_centerline_distance,same_index_min_centerline_distance,estimated_nested_clearance,estimated_same_index_nested_clearance,min_bcm_gap,max_bcm_gap,num_bcm_gaps
0.0001,0.0,0.0,-0.05,0.0,0.0,-0.024813512126057535,0.0,0.0,-0.025186487873942467,0.025186487873942467,0.0011520108006266227,0.0011520108006266227,2.9988479891993736,2.9988479891993736,2.9751864878739425,2.995703838242381,10
0.0002,0.0,0.0,-0.1,3.5125010490432396e-07,0.0,-0.062298789530725325,-3.5125010490432396e-07,0.0,-0.03770121046927468,0.03770121047091092,0.003704977478183864,0.003704977478183864,2.9962950225218163,2.9962950225218163,2.9377012104692746,2.9958124940195567,10
0.00030000000000000003,0.0,0.0,-0.15000000000000002,5.679181448210942e-07,0.0,-0.1060931112093923,-5.679181448210942e-07,0.0,-0.04390688879060772,0.04390688879428062,0.00136472896101288,0.00136472896101288,2.998635271038987,2.998635271038987,2.8939068887906076,2.99732275669778,10
0.0004,0.0,0.0,-0.2,5.851591650256344e-07,0.0,-0.1530174353806999,-5.851591650256344e-07,0.0,-0.046982564619300116,0.04698256462294414,0.00030716516238446886,0.00030716516238446886,2.9996928348376155,2.9996928348376155,2.8469825646193003,2.9983104650360244,10
0.0005,0.0,0.0,-0.25,4.907302836725704e-07,0.0,-0.2014923321005578,-4.907302836725704e-07,0.0,-0.04850766789944219,0.048507667901924435,0.0005357450658397414,0.0005357450658397414,2.99946425493416,2.99946425493416,2.7985076678994423,2.998846251508479,10
0.0006000000000000001,0.0,0.0,-0.3,3.6341973927507333e-07,0.0,-0.2507351678964717,-3.6341973927507333e-07,0.0,-0.04926483210352828,0.049264832104868726,0.0007880121633163696,0.0007880121633163696,2.9992119878366834,2.9992119878366834,2.7492648321035285,2.99950160601575,10
0.0007000000000000001,0.0,0.0,-0.35,2.452056001005799e-07,0.0,-0.3003585254734216,-2.452056001005799e-07,0.0,-0.049641474526578355,0.049641474527183954,0.001099077606732926,0.001099077606732926,2.998900922393267,2.998900922393267,2.699641474526578,2.9998168243105936,10
0.0008000000000000001,0.0,0.0,-0.39999999999999997,1.512309543546811e-07,0.0,-0.3501706146697784,-1.512309543546811e-07,0.0,-0.049829385330221576,0.049829385330451066,0.0016821550672668944,0.0016821550672668944,2.9983178449327332,2.9983178449327332,2.6498293853302215,2.9990670944443685,10
0.0009000000000000002,0.0,0.0,-0.44999999999999996,8.257486924082368e-08,0.0,-0.40007642662960136,-8.257486924082368e-08,0.0,-0.0499235733703986,0.04992357337046689,0.0024282492583342138,0.0024282492583342138,2.997571750741666,2.997571750741666,2.5999235733703987,2.998351194513863,10
0.0010000000000000002,0.0,0.0,-0.49999999999999994,3.466912641952753e-08,0.0,-0.45002885250213986,-3.466912641952753e-08,0.0,-0.04997114749786008,0.049971147497872105,0.0032658478122429627,0.0032658478122429627,2.996734152187757,2.996734152187757,2.5499711474978604,2.9976058628688884,10
0.0011000000000000003,0.0,0.0,-0.5499999999999999,1.6731772714636748e-09,0.0,-0.500004512135416,-1.6731772714636748e-09,0.0,-0.049995487864583965,0.04999548786458399,0.004196875130273975,0.004196875130273975,2.995803124869726,2.995803124869726,2.499995487864584,2.9967956619388594,10
0.0012000000000000003,0.0,0.0,-0.6,-2.168492824343063e-08,0.0,-0.5499917924829454,2.168492824343063e-08,0.0,-0.05000820751705459,0.05000820751705929,0.005229059429149165,0.005229059429149165,2.994770940570851,2.994770940570851,2.450008207627276,2.995902434179956,10
0.0013000000000000004,0.0,0.0,-0.65,-3.9583240855042545e-08,0.0,-0.5999849214672516,3.9583240855042545e-08,0.0,-0.05001507853274845,0.05001507853276411,0.005633510462348276,0.005633510462348276,2.9943664895376516,2.9943664895376516,2.400015078748377,2.9949180183626,10
0.0014000000000000004,0.0,0.0,-0.7000000000000001,-5.515087068441982e-08,0.0,-0.6499810284909536,5.515087068441982e-08,0.0,-0.05001897150904644,0.05001897150907684,0.006022371601179978,0.006022371601179978,2.99397762839882,2.99397762839882,2.3500189718285323,2.994014355567665,10
0.0015000000000000005,0.0,0.0,-0.7500000000000001,-7.069475213723891e-08,0.0,-0.6999786848574685,7.069475213723891e-08,0.0,-0.05002131514253161,0.05002131514258156,0.0064391795460937125,0.0064391795460937125,2.993560820453906,2.993560820453906,2.3000213155751066,2.993443101597681,10
0.0016000000000000005,0.0,0.0,-0.8000000000000002,-8.793507527802346e-08,0.0,-0.749977178445576,8.793507527802346e-08,0.0,-0.05002282155442417,0.05002282155450146,0.006897703242230551,0.006897703242230551,2.9931022967577694,2.9931022967577694,2.250022822119429,2.992933441739464,10
0.0017000000000000006,0.0,0.0,-0.8500000000000002,-1.0818887222815317e-07,0.0,-0.7999761530783557,1.0818887222815317e-07,0.0,-0.05002384692164452,0.05002384692176152,0.007408296521818693,0.007408296521818693,2.9925917034781815,2.9925917034781815,2.2000238476478082,2.9925010110963206,10
0.0018000000000000006,0.0,0.0,-0.9000000000000002,-1.3249261695618093e-07,0.0,-0.8499754291796001,1.3249261695618093e-07,0.0,-0.05002457082040013,0.050024570820575584,0.007977620807448401,0.007977620807448401,2.9920223791925515,2.9920223791925515,2.1500245717451163,2.9921607013754916,10
0.0019000000000000006,0.0,0.0,-0.9500000000000003,-1.6167400701784145e-07,0.0,-0.8999749145972549,1.6167400701784145e-07,0.0,-0.05002508540274542,0.050025085403006674,0.008609088444430785,0.008609088444430785,2.9913909115555692,2.9913909115555692,2.10002508657128,2.9919261229841734,10
0.0020000000000000005,0.0,0.0,-1.0000000000000002,-1.9638757431272834e-07,0.0,-0.9499745602881273,1.9638757431272834e-07,0.0,-0.0500254397118729,0.05002543971225838,0.009304073229065303,0.009304073229065303,2.9906959267709348,2.9906959267709348,2.0500254411764307,2.9918091550595998,10
0.0021000000000000003,0.0,0.0,-1.0500000000000003,-2.3712741332258005e-07,0.0,-0.9999743383262131,2.3712741332258005e-07,0.0,-0.05002566167378719,0.0500256616743492,0.010063738215652528,0.010063738215652528,2.9899362617843477,2.9899362617843477,2.0000256634923743,2.9918195510045686,10
0.0022,0.0,0.0,-1.1000000000000003,-2.8422730846892805e-07,0.0,-1.0499742310198992,2.8422730846892805e-07,0.0,-0.05002576898010114,0.050025768980908575,0.010891257300056901,0.010891257300056901,2.989108742699943,2.989108742699943,1.9500257712151603,2.9919645875171077,10
0.0023,0.0,0.0,-1.1500000000000004,-3.3785557624634844e-07,0.0,-1.099974225556719,3.3785557624634844e-07,0.0,-0.05002577444328127,0.05002577444442215,0.011794209010847342,0.011794209010847342,2.9882057909891526,2.9882057909891526,1.900025777160113,2.9922487539152574,10
0.0024,0.0,0.0,-1.2000000000000004,-3.980095333379095e-07,0.0,-1.1499743113976377,3.980095333379095e-07,0.0,-0.05002568860236267,0.050025688603945975,0.012786926308706656,0.012786926308706656,2.987213073691293,2.987213073691293,1.8500256918673703,2.992673483011793,10
0.0024999999999999996,0.0,0.0,-1.2500000000000004,-4.6451270224144725e-07,0.0,-1.1999744790379057,4.6451270224144725e-07,0.0,-0.05002552096209478,0.0500255209642514,0.013892549836619075,0.013892549836619075,2.986107450163381,2.986107450163381,1.80002552484092,2.993236926337134,10
0.0025999999999999994,0.0,0.0,-1.3000000000000005,-5.370165601972528e-07,0.0,-1.249974719445746,5.370165601972528e-07,0.0,-0.05002528055425448,0.0500252805571369,0.015122768270070698,0.015122768270070698,2.9848772317299295,2.9848772317299295,1.750025285109876,2.993889097729079,10
0.0026999999999999993,0.0,0.0,-1.3500000000000005,-6.150076955057748e-07,0.0,-1.299975023835624,6.150076955057748e-07,0.0,-0.05002497616437651,0.050024976168156966,0.015690458840778743,0.015690458840778743,2.984309541159221,2.984309541159221,1.7000249814552575,2.9924969068231104,10
0.002799999999999999,0.0,0.0,-1.4000000000000006,-6.978205523433493e-07,0.0,-1.3499753836047723,6.978205523433493e-07,0.0,-0.05002461639522826,0.050024616400095395,0.01632595352197185,0.01632595352197185,2.9836740464780283,2.9836740464780283,1.650024622473587,2.9907379156542033,10
0.002899999999999999,0.0,0.0,-1.4500000000000006,-7.846554481100228e-07,0.0,-1.399975790347255,7.846554481100228e-07,0.0,-0.05002420965274568,0.05002420965889954,0.017046669770455592,0.017046669770455592,2.9829533302295443,2.9829533302295443,1.600024216563029,2.988569992498049,10
0.0029999999999999988,0.0,0.0,-1.5000000000000007,-8.746011894009111e-07,0.0,-1.4499762359025044,8.746011894009111e-07,0.0,-0.050023764097496315,0.050023764105141956,0.017864469855140237,0.017864469855140237,2.9821355301448595,2.9821355301448595,1.5500237718751075,2.9871396273943684,10
0.0030999999999999986,0.0,0.0,-1.5500000000000007,-9.666613649338456e-07,0.0,-1.4999767124165633,9.666613649338456e-07,0.0,-0.05002328758343744,0.05002328759277743,0.0187842476386442,0.0187842476386442,2.9812157523613556,2.9812157523613556,1.500023296253769,2.988069278538718,10
0.0031999999999999984,0.0,0.0,-1.6000000000000008,-1.0597832377087502e-06,0.0,-1.5499772124049365,1.0597832377087502e-06,0.0,-0.05002278759506429,0.05002278760629058,0.019803376714989256,0.019803376714989256,2.9801966232850106,2.9801966232850106,1.4500227971728612,2.9892064810081607,10
0.0032999999999999982,0.0,0.0,-1.6500000000000008,-1.1528880812186805e-06,0.0,-1.5999777288113521,1.1528880812186805e-06,0.0,-0.05002227118864866,0.05002227120193425,0.02091205516822453,0.02091205516822453,2.9790879448317753,2.9790879448317753,1.4000222816777161,2.990548682251809,10
0.003399999999999998,0.0,0.0,-1.7000000000000008,-1.244901794827436e-06,0.0,-1.6499782550594988,1.244901794827436e-06,0.0,-0.050021744940502044,0.05002174495599311,0.02209439285841876,0.02209439285841876,2.9779056071415813,2.9779056071415813,1.3500217563337527,2.9920903838924007,10
0.003499999999999998,0.0,0.0,-1.7500000000000009,-1.3347846811410987e-06,0.0,-1.6999787850962524,1.3347846811410987e-06,0.0,-0.050021214903748445,0.050021214921557394,0.023329996034811108,0.023329996034811108,2.976670003965189,2.976670003965189,1.3000212271835718,2.9938230725709833,10
0.0035999999999999977,0.0,0.0,-1.800000000000001,-1.421559362849108e-06,0.0,-1.7499793134257153,1.421559362849108e-06,0.0,-0.0500206865742856,0.05002068659448555,0.024553805984543788,0.024553805984543788,2.9754461940154564,2.9754461940154564,1.2500206997132122,2.9955021539197917,10
0.0036999999999999976,0.0,0.0,-1.850000000000001,-1.5043359474217553e-06,0.0,-1.7999798351338534,1.5043359474217553e-06,0.0,-0.050020164866147576,0.05002016488876872,0.025420383521421397,0.025420383521421397,2.9745796164785787,2.9745796164785787,1.2000201788277685,2.9947025025574323,10
0.0037999999999999974,0.0,0.0,-1.900000000000001,-1.5823337044929663e-06,0.0,-1.8499803459038155,1.5823337044929663e-06,0.0,-0.05001965409618547,0.05001965412121343,0.02648963197165463,0.02648963197165463,2.9735103680283452,2.9735103680283452,1.1500196688362831,2.9940986150178306,10
0.0038999999999999972,0.0,0.0,-1.950000000000001,-1.6548986925381774e-06,0.0,-1.899980842022228,1.6548986925381774e-06,0.0,-0.05001915797777312,0.05001915800514953,0.027773375539893466,0.027773375539893466,2.9722266244601063,2.9722266244601063,1.1000191734456164,2.993734392025146,10
0.0039999999999999975,0.0,0.0,-2.000000000000001,-1.721516949151869e-06,0.0,-1.9499813203769063,1.721516949151869e-06,0.0,-0.050018679623094586,0.05001867965271973,0.02927146300524208,0.02927146300524208,2.970728536994758,2.970728536994758,1.050018695762848,2.993654772602547,10
0.004099999999999998,0.0,0.0,-2.0500000000000007,-1.7818230345425546e-06,0.0,-1.9999817784465497,1.7818230345425546e-06,0.0,-0.05001822155345104,0.050018221585188406,0.0306422807700198,0.0306422807700198,2.96935771922998,2.96935771922998,1.000018238305649,2.992530203903883,10
0.004199999999999998,0.0,0.0,-2.1000000000000005,-1.8356038845423287e-06,0.0,-2.049982214283071,1.8356038845423287e-06,0.0,-0.05001778571692972,0.05001778575061215,0.03171846427220621,0.03171846427220621,2.968281535727794,2.968281535727794,0.9500178030199713,2.9899457523379014,10
0.004299999999999998,0.0,0.0,-2.1500000000000004,-1.8827980810344824e-06,0.0,-2.099982626487293,1.8827980810344824e-06,0.0,-0.05001737351270741,0.05001737354814438,0.032770222852355445,0.032770222852355445,2.9672297771476446,2.9672297771476446,0.9000173913043237,2.987346106672123,10
0.0043999999999999985,0.0,0.0,-2.2,-1.9234907826507594e-06,0.0,-2.1499830141787943,1.9234907826507594e-06,0.0,-0.05001698582120584,0.05001698585819144,0.03383652858959818,0.03383652858959818,2.9661634714104017,2.9661634714104017,0.8500170040398691,2.984765476789028,10
0.004499999999999999,0.0,0.0,-2.25,-1.957904672630582e-06,0.0,-2.199983376960719,1.957904672630582e-06,0.0,-0.050016623039280894,0.05001662307760206,0.0349771193045859,0.0349771193045859,2.965022880695414,2.965022880695414,0.8000166416255086,2.982240255458848,10
0.004599999999999999,0.0,0.0,-2.3,-1.9863873743359484e-06,0.0,-2.2499837148804023,1.9863873743359484e-06,0.0,-0.05001628511959755,0.05001628515904205,0.03627433118313732,0.03627433118313732,2.9637256688168625,2.9637256688168625,0.7500163040171355,2.9798088008658454,10
0.004699999999999999,0.0,0.0,-2.3499999999999996,-2.0093958577888425e-06,0.0,-2.299984028386645,2.0093958577888425e-06,0.0,-0.050015971613354804,0.05001597165371863,0.037832636810035236,0.037832636810035236,2.9621673631899648,2.9621673631899648,0.7000159907702028,2.9776498748252656,10
0.0048,0.0,0.0,-2.3999999999999995,-2.0274784134094066e-06,0.0,-2.349984318284494,2.0274784134094066e-06,0.0,-0.05001568171550552,0.050015681756599324,0.0397746972586163,0.0397746972586163,2.960225302741384,2.960225302741384,0.6500157010847749,2.975530941370961,10
0.0049,0.0,0.0,-2.4499999999999993,-2.0412548034723533e-06,0.0,-2.399984585688337,2.0412548034723533e-06,0.0,-0.050015414311662454,0.05001541435331682,0.04223338508665574,0.04223338508665574,2.957766614913344,2.957766614913344,0.6000154338522452,2.973628845008602,10
0.005,0.0,0.0,-2.499999999999999,-2.0513952189692617e-06,0.0,-2.449984831974106,2.0513952189692617e-06,0.0,-0.0500151680258929,0.05001516806796236,0.04374332310933642,0.04374332310933642,2.9562566768906637,2.9562566768906637,0.5500151877029369,2.971987128054744,10
