t,control_x,control_y,control_z,base_x,base_y,base_z,control_minus_base_x,control_minus_base_y,control_minus_base_z,control_base_distance,min_centerline_distance,same_index_min_centerline_distance,estimated_nested_clearance,estimated_same_index_nested_clearance,min_bcm_gap,max_bcm_gap,num_bcm_gaps
0.001,0.0,0.0,-0.05,0.0,0.0,-0.02499842297033819,0.0,0.0,-0.02500157702966181,0.02500157702966181,0.00944638156176864,0.00944638156176864,2.9905536184382315,2.9905536184382315,2.9750015770296616,2.9904946092156304,10
0.002,0.0,0.0,-0.1,1.797998394818331e-10,0.0,-0.06249856222707389,-1.797998394818331e-10,0.0,-0.03750143777292612,0.03750143777292612,0.028476713994052102,0.028476713994052102,2.9715232860059477,2.9715232860059477,2.937501437772926,2.9714742190549206,10
0.003,0.0,0.0,-0.15000000000000002,-7.623651595907764e-10,0.0,-0.10624924338005964,7.623651595907764e-10,0.0,-0.04375075661994038,0.043750756619940386,0.05708694776387855,0.05708694776387855,2.9429130522361215,2.9429130522361215,2.893750756620124,2.9427878679035673,10
0.004,0.0,0.0,-0.2,-2.222876223254475e-09,0.0,-0.15312502756540602,2.222876223254475e-09,0.0,-0.04687497243459399,0.046874972434594035,0.09492537716324322,0.09492537716324322,2.9050746228367568,2.9050746228367568,2.846874972435076,2.904584721311676,10
0.005,0.0,0.0,-0.25,-3.3382866979755063e-09,0.0,-0.2015632680500899,3.3382866979755063e-09,0.0,-0.048436731949910106,0.048436731949910224,0.14194531698641927,0.14194531698641927,2.858054683013581,2.858054683013581,2.7984367319503822,2.856167030891777,10
0.006,0.0,0.0,-0.3,-3.627443366180103e-09,0.0,-0.2507826788024965,3.627443366180103e-09,0.0,-0.049217321197503494,0.049217321197503626,0.1985510068309829,0.1985510068309829,2.801448993169017,2.801448993169017,2.7492173211975954,2.7973568398612096,10
0.007,0.0,0.0,-0.35,-3.014330044789862e-09,0.0,-0.30039263766863,3.014330044789862e-09,0.0,-0.049607362331369975,0.049607362331370065,0.26519788730858146,0.26519788730858146,2.7348021126914186,2.7348021126914186,2.690777703173981,2.727943187868535,10
0.008,0.0,0.0,-0.39999999999999997,-1.6945357174100323e-09,0.0,-0.35019784584801955,1.6945357174100323e-09,0.0,-0.049802154151980416,0.04980215415198045,0.34246115050504367,0.34246115050504367,2.6575388494949563,2.6575388494949563,2.618285631876317,2.647829703142057,10
0.009000000000000001,0.0,0.0,-0.44999999999999996,2.0777539884834752e-11,0.0,-0.4001006608634885,-2.0777539884834752e-11,0.0,-0.049899339136511456,0.049899339136511456,0.4001006608634885,0.4001006608634885,2.5998993391365115,2.5998993391365115,2.533254418458749,2.5941420264326966,10
0.010000000000000002,0.0,0.0,-0.49999999999999994,1.8510223898859593e-09,0.0,-0.45005226451397734,-1.8510223898859593e-09,0.0,-0.049947735486022604,0.04994773548602264,0.4500522645139773,0.4500522645139773,2.5499477354860227,2.5499477354860227,2.4382145094482395,2.5417899626920892,10
