step,time,phase,dt,translation_step_um,t1_base_x,t1_ctrl_x,t1_lag_x,t1_base_trans_delta_m,t1_base_rot_delta_rad,t1_strain_err_max,t1_strain_err_mean,t1_kappa_mean_curved_1pm,t1_kappa_rest_mean_curved_1pm,t1_kappa_rel_error,t1_frame_delta_max_m,t1_frame_delta_mean_m,t2_base_x,t2_ctrl_x,t2_lag_x,t2_advance_m,estimated_protrusion_m,t2_strain_err_max_all,t2_strain_err_mean_all,t2_strain_err_max_exposed,t2_strain_err_mean_exposed,t2_kappa_mean_exposed_curved_1pm,t2_kappa_rest_mean_exposed_curved_1pm,t2_kappa_rel_err_exposed_curved,t2_tip_x,t2_tip_y,t2_tip_z,contact_pairs,active_like_pairs,min_gap,max_gap,mean_gap,gap_sign,activation_tolerance,active_lambda_pairs,normal_lambda_sum,normal_lambda_max,normal_force_sum_N,normal_force_max_N
3700,0.37,control,0.0001,50,1.38974445e-09,0,-1.38974445e-09,1.39021463e-09,0,0.244870248,0.14415619,8.18462224,8.33333333,1.78453312,0.00146072085,0.000369730346,-0.130000001,-0.13,1.38975501e-09,0.0299999986,0.0299999972,25.2062428,16.9189969,3.15599578,1.7117927,15.9103842,16.6666667,4.53769504,0.198174841,-0.00259515619,0.00832212169,30,26,-7.80394157e-06,0.00029753157,5.25920409e-05,-1,0.0001,26,2.40416262,0.89599726,2.40416262,0.89599726
3720,0.372,control,0.0001,50,1.24660873e-09,0,-1.24660873e-09,1.24698395e-09,0,0.247239748,0.143984561,8.17966252,8.33333333,1.84404978,0.001457058,0.00036834187,-0.130000001,-0.13,1.24661276e-09,0.0299999988,0.0299999975,25.3018442,16.9819535,3.19774017,1.73930495,15.9009175,16.6666667,4.5944952,0.198259267,-0.00296560012,0.00771867119,30,25,-7.01710542e-06,0.000290807958,5.27485584e-05,-1,0.0001,26,2.41345144,0.908168186,2.41345144,0.908168186
3740,0.374,control,0.0001,50,1.14239977e-09,0,-1.14239977e-09,1.14318475e-09,0,0.250725462,0.143811315,8.17478626,8.33333333,1.90256483,0.00145218741,0.000366632426,-0.130000001,-0.13,1.14240711e-09,0.0299999989,0.0299999977,25.3949399,17.0416771,3.23579092,1.76568082,15.896668,16.6666667,4.6199918,0.198340856,-0.00332127232,0.00706957203,30,26,-1.22283383e-05,0.000296475983,5.09816362e-05,-1,0.0001,26,2.44266576,0.934508935,2.44266576,0.934508935
3760,0.376,control,0.0001,50,1.21244689e-09,0,-1.21244689e-09,1.21319451e-09,0,0.25307926,0.143237468,8.17146902,8.33333333,1.9423717,0.00144546487,0.000364955933,-0.130000001,-0.13,1.21246863e-09,0.0299999988,0.0299999976,25.4853081,17.0974261,3.28923621,1.79877535,15.8862709,16.6666667,4.68237457,0.198420955,-0.00365126261,0.0063814672,30,25,-1.78032516e-05,0.000301126674,4.9389553e-05,-1,0.0001,25,2.44894584,0.955412285,2.44894584,0.955412285
3780,0.378,control,0.0001,50,1.36475345e-09,0,-1.36475345e-09,1.36539518e-09,0,0.255415852,0.14286275,8.167479,8.33333333,1.99025202,0.00143996027,0.000363046605,-0.130000001,-0.13,1.36477946e-09,0.0299999986,0.0299999973,25.5729586,17.1490969,3.33500691,1.83017923,15.873524,16.6666667,4.75885627,0.198492954,-0.00394627714,0.00567472982,30,25,-1.47242586e-05,0.000295881874,4.9266415e-05,-1,0.0001,25,2.46996955,0.972767374,2.46996955,0.972767374
3800,0.38,control,0.0001,50,1.28459236e-09,0,-1.28459236e-09,1.28486449e-09,0,0.257772983,0.142543781,8.16282306,8.33333333,2.04612325,0.00143388492,0.000360398307,-0.130000001,-0.13,1.28460323e-09,0.0299999987,0.0299999974,25.6577646,17.1967095,3.37145452,1.85645693,15.8649129,16.6666667,4.8105227,0.198556893,-0.00420543905,0.00494726579,30,25,-5.00655287e-06,0.000292535485,5.34817159e-05,-1,0.0001,25,2.49197452,0.985905533,2.49197452,0.985905533
3820,0.382,control,0.0001,50,1.42178463e-09,0,-1.42178463e-09,1.42201222e-09,0,0.25831161,0.141967072,8.1599795,8.33333333,2.08024602,0.00143136403,0.000359824296,-0.130000001,-0.13,1.42178197e-09,0.0299999986,0.0299999972,25.7398175,17.23834,3.40666828,1.88050718,15.8500371,16.6666667,4.89977725,0.198608763,-0.00442212962,0.00423788098,30,24,-7.37450204e-06,0.000290437138,5.96543707e-05,-1,0.0001,24,2.4909539,0.984053231,2.4909539,0.984053231
3840,0.384,control,0.0001,50,2.00016041e-09,0,-2.00016041e-09,2.00044181e-09,0,0.259622699,0.141938139,8.15713743,8.33333333,2.11435087,0.00142566551,0.000357041164,-0.130000002,-0.13,2.00016234e-09,0.029999998,0.029999996,25.8188968,17.2766843,3.41921819,1.89413345,15.8483532,16.6666667,4.9098808,0.198650082,-0.00460988452,0.00350427033,30,25,-6.6107932e-06,0.000286231422,6.48282802e-05,-1,0.0001,25,2.50604739,0.981910829,2.50604739,0.981910829
3860,0.386,control,0.0001,50,6.27081974e-10,0,-6.27081974e-10,6.28122444e-10,0,0.258438436,0.140999959,8.15665459,8.33333333,2.12014486,0.00141826686,0.000355639205,-0.130000001,-0.13,6.27115276e-10,0.0299999994,0.0299999987,25.8950128,17.3110862,3.46061078,1.91742057,15.8380813,16.6666667,4.97151221,0.198692312,-0.00476173328,0.00274002054,30,18,-6.21692104e-06,0.000283660165,7.65877508e-05,-1,0.0001,19,2.47512898,0.983672332,2.47512898,0.983672332
3880,0.388,control,0.0001,50,2.56938159e-09,0,-2.56938159e-09,2.56967224e-09,0,0.26041422,0.140760892,8.15444828,8.33333333,2.14662068,0.00140962464,0.000351873235,-0.130000003,-0.13,2.56937971e-09,0.0299999974,0.0299999949,25.9680068,17.3409789,3.47057401,1.93062647,15.836633,16.6666667,4.9802023,0.198723593,-0.00486498567,0.00198325445,30,17,-7.75818827e-06,0.000288092124,8.47896334e-05,-1,0.0001,17,2.51979897,0.974061058,2.51979897,0.974061058
3900,0.39,control,0.0001,50,6.64771064e-10,0,-6.64771064e-10,6.6566142e-10,0,0.258809803,0.139481195,8.15490513,8.33333333,2.14113849,0.00139977575,0.000349550845,-0.130000001,-0.13,6.64800492e-10,0.0299999993,0.0299999987,26.0377618,17.3662237,3.51500123,1.96043195,15.8312005,16.6666667,5.01279697,0.198752508,-0.00494721512,0.00116815254,30,17,-8.21611326e-06,0.000285746622,9.93967431e-05,-1,0.0001,17,2.48487604,0.984086855,2.48487604,0.984086855
3920,0.392,control,0.0001,50,2.25736852e-09,0,-2.25736852e-09,2.25766307e-09,0,0.259410333,0.138816899,8.15467542,8.33333333,2.14389493,0.00139128149,0.000346449959,-0.130000002,-0.13,2.25736596e-09,0.0299999977,0.0299999955,26.1042865,17.386204,3.54262121,1.98602612,15.8289623,16.6666667,5.02622622,0.1987713,-0.00497695916,0.000334649605,30,17,-9.34828802e-06,0.000293810738,0.000111291735,-1,0.0001,17,2.51800029,0.975149855,2.51800029,0.975149855
3940,0.394,control,0.0001,50,2.03655856e-09,0,-2.03655856e-09,2.03689713e-09,0,0.25880233,0.137814871,8.15566262,8.33333333,2.13204857,0.00138336225,0.000344249096,-0.130000002,-0.13,2.03655454e-09,0.029999998,0.0299999959,26.1675013,17.4010755,3.57900113,2.0162525,15.8285141,16.6666667,5.02891512,0.198781519,-0.00496029193,-0.000535205368,30,17,-8.89510097e-06,0.000345585375,0.000122407645,-1,0.0001,17,2.52183501,0.978151872,2.52183501,0.978151872
3960,0.396,control,0.0001,50,5.87524229e-10,0,-5.87524229e-10,5.88908861e-10,0,0.256876751,0.136605115,8.1577814,8.33333333,2.10662319,0.00137607725,0.00034287062,-0.130000001,-0.13,5.8753144e-10,0.0299999994,0.0299999988,26.2274909,17.4103842,3.6204795,2.04840756,15.8276653,16.6666667,5.034008,0.198781367,-0.00488922868,-0.00143165276,30,17,-9.90387706e-06,0.000397330122,0.000130104114,-1,0.0001,17,2.48887825,0.983112232,2.48887825,0.983112232
3980,0.398,control,0.0001,50,5.89269967e-10,0,-5.89269967e-10,5.90345113e-10,0,0.255775762,0.135835855,8.16021136,8.33333333,2.07746366,0.00136906723,0.000340799618,-0.130000001,-0.13,5.89274102e-10,0.0299999994,0.0299999988,26.2841224,17.413873,3.65020133,2.07610621,15.8284431,16.6666667,5.02934127,0.198769276,-0.00475726629,-0.00233080208,30,17,-1.00777175e-05,0.000439161676,0.00013526109,-1,0.0001,17,2.48782652,0.979258884,2.48782652,0.979258884
4000,0.4,control,0.0001,50,2.04583465e-09,0,-2.04583465e-09,2.04614649e-09,0,0.255189367,0.135518528,8.16316525,8.33333333,2.04201702,0.00136098617,0.000337893254,-0.130000002,-0.13,2.04582185e-09,0.029999998,0.0299999959,26.3372729,17.4112449,3.67168876,2.10006155,15.8304529,16.6666667,5.0172826,0.198744229,-0.00456588057,-0.00322556867,30,16,-1.17602223e-05,0.000463990034,0.000136110976,-1,0.0001,16,2.51070665,0.968217929,2.51070665,0.968217929
4020,0.402,control,0.0001,50,7.82763212e-10,0,-7.82763212e-10,7.83847013e-10,0,0.253099976,0.134732986,8.1673679,8.33333333,1.99158514,0.00135615772,0.000337404214,-0.130000001,-0.13,7.8275339e-10,0.0299999992,0.0299999984,26.3867809,17.4042555,3.70407384,2.12669728,15.8335545,16.6666667,4.99867325,0.198710713,-0.00430428631,-0.00413082012,30,16,-1.30098959e-05,0.000476410888,0.000135967732,-1,0.0001,16,2.48020228,0.970243182,2.48020228,0.970243182
4040,0.404,control,0.0001,50,8.73962404e-10,0,-8.73962404e-10,8.74919079e-10,0,0.251178144,0.134412755,8.17219085,8.33333333,1.93370985,0.00134903128,0.000335415375,-0.130000001,-0.13,8.73949718e-10,0.0299999991,0.0299999983,26.4324211,17.3908783,3.7247223,2.14817645,15.8351116,16.6666667,4.98933046,0.198663144,-0.00398416851,-0.00501787356,30,17,-1.39579113e-05,0.000469376418,0.000131968186,-1,0.0001,17,2.47316072,0.962567198,2.47316072,0.962567198
4060,0.406,control,0.0001,50,9.42437172e-10,0,-9.42437172e-10,9.4316486e-10,0,0.249033893,0.13418459,8.17773218,8.33333333,1.86721388,0.00134228879,0.000333578813,-0.130000001,-0.13,9.42421113e-10,0.0299999991,0.0299999981,26.4740501,17.3719699,3.73915652,2.16668616,15.8407823,16.6666667,4.95530637,0.198602508,-0.00360179795,-0.00589227194,30,16,-1.37976636e-05,0.000447963923,0.000125030943,-1,0.0001,16,2.46526289,0.953696594,2.46526289,0.953696594
4080,0.408,control,0.0001,50,1.14342069e-09,0,-1.14342069e-09,1.14401062e-09,0,0.246711889,0.134099984,8.18395795,8.33333333,1.79250459,0.00133475729,0.000331158736,-0.130000001,-0.13,1.14340507e-09,0.0299999989,0.0299999977,26.5115663,17.3477143,3.74865811,2.18264133,15.8506258,16.6666667,4.89624535,0.198528438,-0.0031517049,-0.00675128723,30,18,-1.02824181e-05,0.000415160599,0.00011560815,-1,0.0001,18,2.45745139,0.9434416,2.45745139,0.9434416
4100,0.41,control,0.0001,50,1.3014759e-09,0,-1.3014759e-09,1.30197122e-09,0,0.243710981,0.133837703,8.1908624,8.33333333,1.7096512,0.00132698218,0.000329038712,-0.130000001,-0.13,1.30145406e-09,0.0299999987,0.0299999974,26.5448386,17.3180908,3.75816092,2.19815619,15.8544767,16.6666667,4.87313961,0.198440826,-0.00263891189,-0.00759496802,30,18,-9.5364021e-06,0.00039338804,0.00010964196,-1,0.0001,18,2.44567416,0.933217426,2.44567416,0.933217426
4120,0.412,control,0.0001,50,9.87790337e-10,0,-9.87790337e-10,9.88306003e-10,0,0.240418883,0.133371508,8.19884512,8.33333333,1.61385852,0.00132047702,0.000327769442,-0.130000001,-0.13,9.87768534e-10,0.029999999,0.029999998,26.5738106,17.2837948,3.76360245,2.21115054,15.8622933,16.6666667,4.82623998,0.19834046,-0.00206245602,-0.0084165344,30,19,-1.24275338e-05,0.000359357515,0.000101382033,-1,0.0001,18,2.42835881,0.919878432,2.42835881,0.919878432
4140,0.414,control,0.0001,50,1.24737608e-09,0,-1.24737608e-09,1.24786732e-09,0,0.237289287,0.133208276,8.20719759,8.33333333,1.51362896,0.00131337251,0.000325613385,-0.130000001,-0.13,1.24735172e-09,0.0299999988,0.0299999975,26.598436,17.2440682,3.75741525,2.2186535,15.8754012,16.6666667,4.74759279,0.198225119,-0.00141847603,-0.00920426132,30,19,-1.32520308e-05,0.000327767671,9.35700127e-05,-1,0.0001,19,2.41496571,0.905141013,2.41496571,0.905141013
4160,0.416,control,0.0001,50,1.54624347e-09,0,-1.54624347e-09,1.54664097e-09,0,0.233614683,0.13299375,8.21586635,8.33333333,1.40960374,0.00130623647,0.000323639122,-0.130000002,-0.13,1.54621604e-09,0.0299999985,0.0299999969,26.6187378,17.199787,3.74768199,2.22445421,15.8887364,16.6666667,4.66758173,0.19809549,-0.000705484526,-0.00995841812,30,20,-1.40787745e-05,0.000327456459,8.45346275e-05,-1,0.0001,20,2.40128168,0.888119038,2.40128168,0.888119038
4180,0.418,control,0.0001,50,1.74434461e-09,0,-1.74434461e-09,1.74462109e-09,0,0.229745709,0.132680983,8.22490682,8.33333333,1.30111816,0.00129936014,0.000321910245,-0.130000002,-0.13,1.74431336e-09,0.0299999983,0.0299999965,26.6348098,17.1511737,3.73371642,2.2276769,15.9036126,16.6666667,4.57832456,0.197950774,7.8867167e-05,-0.0106768195,30,21,-1.18206445e-05,0.000323839309,7.43272729e-05,-1,0.0001,20,2.38660567,0.871872683,2.38660567,0.871872683
4200,0.42,control,0.0001,50,1.89125768e-09,0,-1.89125768e-09,1.89155777e-09,0,0.225423687,0.132319997,8.23443358,8.33333333,1.18679706,0.00129259077,0.000320252439,-0.130000002,-0.13,1.89122323e-09,0.0299999981,0.0299999962,26.6467282,17.0984343,3.7184051,2.22979452,15.9181765,16.6666667,4.49094093,0.197790884,0.00093876395,-0.0113536745,30,22,-1.15635008e-05,0.00032276856,6.45719501e-05,-1,0.0001,22,2.36750685,0.85363385,2.36750685,0.85363385
4220,0.422,control,0.0001,50,2.04816223e-09,0,-2.04816223e-09,2.04840798e-09,0,0.220511861,0.131826512,8.24403682,8.33333333,1.0715581,0.00128474854,0.000318378112,-0.130000002,-0.13,2.04812314e-09,0.029999998,0.0299999959,26.6545627,17.0414885,3.69983328,2.23080159,15.9310784,16.6666667,4.41352961,0.197612676,0.00187618231,-0.0119899954,30,23,-9.74839874e-06,0.000320535747,5.83139298e-05,-1,0.0001,23,2.34659216,0.833018258,2.34659216,0.833018258
4240,0.424,control,0.0001,50,2.0431816e-09,0,-2.0431816e-09,2.04342777e-09,0,0.215227179,0.131306097,8.25372794,8.33333333,0.955264667,0.0012765859,0.000316386062,-0.130000002,-0.13,2.04313888e-09,0.029999998,0.0299999959,26.6584511,16.980759,3.67531116,2.22997274,15.9508001,16.6666667,4.29519956,0.197413884,0.00290672313,-0.012576507,30,24,-9.520014e-06,0.000321789221,5.25995444e-05,-1,0.0001,24,2.3195634,0.810652969,2.3195634,0.810652969
4260,0.426,control,0.0001,50,1.87863188e-09,0,-1.87863188e-09,1.87892074e-09,0,0.208562717,0.130828596,8.26475133,8.33333333,0.822984019,0.00127570693,0.00031714268,-0.130000002,-0.13,1.87859087e-09,0.0299999981,0.0299999962,26.658573,16.9169095,3.64767734,2.22533431,15.9729897,16.6666667,4.1620619,0.197207871,0.00397182741,-0.0130644117,30,24,-8.0889079e-06,0.000325833503,4.90122533e-05,-1,0.0001,24,2.27530808,0.770112469,2.27530808,0.770112469
4280,0.428,control,0.0001,50,1.73908941e-09,0,-1.73908941e-09,1.73939999e-09,0,0.200747769,0.130152828,8.27573173,8.33333333,0.691219285,0.0012765691,0.000318923656,-0.130000002,-0.13,1.73904638e-09,0.0299999983,0.0299999965,26.6551197,16.8493077,3.6057464,2.21063573,15.9918999,16.6666667,4.04860071,0.196998151,0.00503223599,-0.0134541618,30,25,-7.52793324e-06,0.00032818162,4.64961072e-05,-1,0.0001,25,2.22327606,0.706074803,2.22327606,0.706074803
4300,0.43,control,0.0001,50,1.59762587e-09,0,-1.59762587e-09,1.59797472e-09,0,0.192740519,0.12937648,8.28660112,8.33333333,0.560786518,0.00127782158,0.000320753111,-0.130000002,-0.13,1.59758295e-09,0.0299999984,0.0299999968,26.6482916,16.7802421,3.5546784,2.18996363,16.0169114,16.6666667,3.89853186,0.19678443,0.00610496087,-0.0137531376,30,25,-7.14449677e-06,0.000330657171,4.55611386e-05,-1,0.0001,25,2.16994433,0.673252111,2.16994433,0.673252111
4320,0.432,control,0.0001,50,1.47737534e-09,0,-1.47737534e-09,1.47776546e-09,0,0.188715092,0.12849641,8.29724784,8.33333333,0.433025868,0.00127990879,0.000322910238,-0.130000001,-0.13,1.47733242e-09,0.0299999985,0.029999997,26.6382791,16.7103947,3.49759202,2.16435115,16.0416059,16.6666667,3.75036487,0.196569678,0.00717817845,-0.0139598973,30,25,-6.68269576e-06,0.000332359137,4.48362694e-05,-1,0.0001,25,2.11483938,0.642366837,2.11483938,0.642366837
4340,0.434,control,0.0001,50,1.3529078e-09,0,-1.3529078e-09,1.35334744e-09,0,0.18905248,0.127500619,8.30754991,8.33333333,0.309401081,0.00128214476,0.000325142428,-0.130000001,-0.13,1.35286479e-09,0.0299999986,0.0299999973,26.6252795,16.6404737,3.43621535,2.13489305,16.0651646,16.6666667,3.60901263,0.196353864,0.00824803894,-0.0140793416,30,25,-6.09254221e-06,0.000333747527,4.43238856e-05,-1,0.0001,25,2.05805001,0.61102479,2.05805001,0.61102479
4360,0.436,control,0.0001,50,1.19422358e-09,0,-1.19422358e-09,1.19474405e-09,0,0.189321138,0.126403854,8.31742262,8.33333333,0.190928548,0.00128432879,0.000327343059,-0.130000001,-0.13,1.19418117e-09,0.0299999988,0.0299999976,26.6095245,16.5711279,3.37071786,2.10240703,16.0901009,16.6666667,3.45939434,0.196136973,0.00931238369,-0.0141160685,30,25,-5.4026914e-06,0.000335381546,4.40908372e-05,-1,0.0001,25,2.00090967,0.580006984,2.00090967,0.580006984
4380,0.438,control,0.0001,50,1.05888762e-09,0,-1.05888762e-09,1.05941277e-09,0,0.189457523,0.125247128,8.32665746,8.33333333,0.0801104735,0.00128679319,0.000329595837,-0.130000001,-0.13,1.05884715e-09,0.0299999989,0.0299999979,26.5912882,16.5029642,3.29993284,2.06685332,16.1144447,16.6666667,3.31333181,0.19592268,0.0103664422,-0.0140697725,30,25,-4.0972872e-06,0.000335006736,4.32842262e-05,-1,0.0001,25,1.94672215,0.548980541,1.94672215,0.548980541
4400,0.44,control,0.0001,50,9.45703748e-10,0,-9.45703748e-10,9.46615809e-10,0,0.188382316,0.123783383,8.33563669,8.33333333,0.0276402922,0.00128665842,0.000331136311,-0.130000001,-0.13,9.45659689e-10,0.0299999991,0.0299999981,26.5709253,16.4337865,3.23194216,2.03044418,16.129686,16.6666667,3.22188422,0.195696323,0.0114088103,-0.0139645241,30,25,-5.20029677e-06,0.000338746533,4.33503879e-05,-1,0.0001,25,1.86634987,0.505668104,1.86634987,0.505668104
4420,0.442,control,0.0001,50,7.64582187e-10,0,-7.64582187e-10,7.65253253e-10,0,0.18962305,0.123026722,8.3438528,8.33333333,0.126233619,0.00129539832,0.000334965641,-0.130000001,-0.13,7.6454712e-10,0.0299999992,0.0299999985,26.5487462,16.3737047,3.15620044,1.99176054,16.180566,16.6666667,2.91660382,0.195499875,0.0124239892,-0.0137450241,30,25,-4.45839967e-06,0.000336913642,4.32696361e-05,-1,0.0001,25,1.83439625,0.489969953,1.83439625,0.489969953
4440,0.444,control,0.0001,50,6.36740086e-10,0,-6.36740086e-10,6.379362e-10,0,0.189366465,0.121899118,8.35165041,8.33333333,0.219804929,0.001300216,0.000337834566,-0.130000001,-0.13,6.36703495e-10,0.0299999994,0.0299999987,26.5252151,16.3155246,3.09153902,1.95559566,16.1997922,16.6666667,2.80124659,0.19530936,0.0134152079,-0.013444262,30,25,-8.67663016e-06,0.000338412774,4.21346918e-05,-1,0.0001,25,1.78220998,0.464903932,1.78220998,0.464903932
4460,0.446,control,0.0001,50,4.90580842e-10,0,-4.90580842e-10,4.92085852e-10,0,0.189431444,0.120658559,8.35950092,8.33333333,0.314011004,0.00130507133,0.000340588613,-0.13,-0.13,4.90546381e-10,0.0299999995,0.029999999,26.5006558,16.2614574,3.01961248,1.91547561,16.2246416,16.6666667,2.65215015,0.195130386,0.0143707613,-0.0130705983,30,25,-7.69038112e-06,0.000338510291,4.20248358e-05,-1,0.0001,25,1.72288024,0.435943102,1.72288024,0.435943102
4480,0.448,control,0.0001,50,4.33970016e-10,0,-4.33970016e-10,4.35734338e-10,0,0.18989927,0.119927103,8.36670127,8.33333333,0.400415212,0.00131398363,0.000344427915,-0.13,-0.13,4.33941522e-10,0.0299999996,0.0299999991,26.4754674,16.2149182,2.9500199,1.87614983,16.2630198,16.6666667,2.42188097,0.194976506,0.0152680883,-0.0126130338,30,25,-7.5412427e-06,0.000338473435,4.13985209e-05,-1,0.0001,25,1.68770221,0.42217968,1.68770221,0.42217968
4500,0.45,control,0.0001,50,3.75006777e-10,0,-3.75006777e-10,3.77060674e-10,0,0.190097116,0.119068744,8.37325768,8.33333333,0.479092212,0.00132135079,0.000347748535,-0.13,-0.13,3.74979992e-10,0.0299999996,0.0299999993,26.4500271,16.1739654,2.89472212,1.84176299,16.2765663,16.6666667,2.34060231,0.194841472,0.0161127314,-0.0120807373,30,25,-6.83524536e-06,0.000338062511,4.06236974e-05,-1,0.0001,25,1.64930384,0.407940034,1.64930384,0.407940034
4520,0.452,control,0.0001,50,2.4000018e-10,0,-2.4000018e-10,2.43349865e-10,0,0.189724771,0.117956084,8.37880284,8.33333333,0.545634036,0.00132420582,0.000349640105,-0.13,-0.13,2.39973458e-10,0.0299999998,0.0299999995,26.4247076,16.1365845,2.84418638,1.80901881,16.2799416,16.6666667,2.32035014,0.194705661,0.0169153973,-0.0115004702,30,25,-6.99281377e-06,0.000337944357,4.09267327e-05,-1,0.0001,25,1.60670899,0.390387973,1.60670899,0.390387973
4540,0.454,control,0.0001,50,1.48327221e-10,0,-1.48327221e-10,1.54153493e-10,0,0.189667396,0.117172341,8.38403765,8.33333333,0.608451753,0.00132896684,0.000351811378,-0.13,-0.13,1.48304924e-10,0.0299999999,0.0299999997,26.3998947,16.1057717,2.79231111,1.77685586,16.2984035,16.6666667,2.20957893,0.194582864,0.01766645,-0.010862828,30,25,-3.43851492e-06,0.00033809009,4.12096045e-05,-1,0.0001,25,1.5755644,0.380121389,1.5755644,0.380121389
4560,0.456,control,0.0001,50,6.33964584e-11,0,-6.33964584e-11,7.58903248e-11,0,0.189939477,0.116600761,8.38882483,8.33333333,0.665897905,0.00133660364,0.000354867217,-0.13,-0.13,6.33752495e-11,0.0299999999,0.0299999999,26.3759482,16.0822985,2.74890344,1.74964237,16.3158419,16.6666667,2.10494851,0.194484405,0.0183536558,-0.0101659364,30,25,-3.27376747e-06,0.000337100917,4.05037717e-05,-1,0.0001,25,1.54754116,0.372006186,1.54754116,0.372006186
4580,0.458,control,0.0001,50,1.67022468e-11,0,-1.67022468e-11,4.49852036e-11,0,0.18990322,0.116050997,8.3931232,8.33333333,0.717478457,0.00134259777,0.000357256794,-0.13,-0.13,1.66851255e-11,0.03,0.03,26.3532256,16.0640577,2.70627688,1.72185204,16.3232887,16.6666667,2.06026792,0.194398834,0.0189781128,-0.00942822269,30,25,-3.13564287e-06,0.000336414396,4.03519819e-05,-1,0.0001,25,1.52167009,0.365140799,1.52167009,0.365140799
4600,0.46,control,0.0001,50,-1.64679126e-10,0,1.64679126e-10,1.69940019e-10,0,0.18878651,0.115141559,8.3958596,8.33333333,0.750315259,0.00134460472,0.000358698863,-0.13,-0.13,-1.64700337e-10,0.0300000002,0.0300000003,26.3320108,16.0484746,2.67372361,1.69652333,16.3093138,16.6666667,2.14411733,0.19430719,0.0195580591,-0.00866199049,30,25,-9.00702577e-06,0.000335395631,4.09579375e-05,-1,0.0001,25,1.4862841,0.351597881,1.4862841,0.351597881
4620,0.462,control,0.0001,50,-2.7604563e-10,0,2.7604563e-10,2.79178421e-10,0,0.188377597,0.11452937,8.39856933,8.33333333,0.782831957,0.00134651351,0.000359602796,-0.13,-0.13,-2.76063339e-10,0.0300000003,0.0300000006,26.3126224,16.0370597,2.63677224,1.67135775,16.3160065,16.6666667,2.1039613,0.194212875,0.0200941887,-0.00787003597,30,25,-1.03638209e-05,0.000335915301,4.11356581e-05,-1,0.0001,25,1.45957924,0.343769097,1.45957924,0.343769097
4640,0.464,control,0.0001,50,-2.58277849e-10,0,2.58277849e-10,2.61415559e-10,0,0.188516026,0.1140974,8.40059059,8.33333333,0.807087033,0.00135010365,0.000360925383,-0.13,-0.13,-2.58294525e-10,0.0300000003,0.0300000005,26.2953332,16.0302843,2.6043238,1.64885379,16.3221834,16.6666667,2.06689984,0.194124824,0.0205762118,-0.00704938208,30,25,-9.8049694e-06,0.000334543028,4.10709206e-05,-1,0.0001,25,1.43397228,0.335937818,1.43397228,0.335937818
4660,0.466,control,0.0001,50,-2.51983283e-10,0,2.51983283e-10,2.55439449e-10,0,0.18872182,0.113823298,8.4020809,8.33333333,0.82497079,0.00135458788,0.000362501917,-0.13,-0.13,-2.51999283e-10,0.0300000003,0.0300000005,26.2804223,16.0284394,2.57439889,1.62783289,16.3289057,16.6666667,2.02656554,0.194045766,0.0209993477,-0.00620393243,30,25,-8.97116315e-06,0.000333024743,4.07428535e-05,-1,0.0001,25,1.40955293,0.329520175,1.40955293,0.329520175
4680,0.468,control,0.0001,50,-2.67739412e-10,0,2.67739412e-10,2.70648701e-10,0,0.189312742,0.113663134,8.40283285,8.33333333,0.833994216,0.00135874137,0.000363982204,-0.13,-0.13,-2.67752098e-10,0.0300000003,0.0300000005,26.2680466,16.0315253,2.55311675,1.61104685,16.3347914,16.6666667,1.99125176,0.193975244,0.0213652119,-0.00534091584,30,24,-8.60092556e-06,0.000331035573,4.53695451e-05,-1,0.0001,24,1.39904376,0.325716761,1.39904376,0.325716761
4700,0.47,control,0.0001,50,-2.64874683e-10,0,2.64874683e-10,2.68375649e-10,0,0.190189534,0.113512918,8.4029731,8.33333333,0.835677188,0.00136128885,0.000364784443,-0.13,-0.13,-2.64886585e-10,0.0300000003,0.0300000005,26.2583414,16.0378255,2.53997758,1.5999204,16.3348758,16.6666667,1.99074527,0.193909402,0.0216836365,-0.00443970866,30,23,-6.58948248e-06,0.000329338407,5.06827227e-05,-1,0.0001,23,1.38862153,0.321433638,1.38862153,0.321433638
4720,0.472,control,0.0001,50,-2.66502285e-10,0,2.66502285e-10,2.6994787e-10,0,0.191675742,0.113565321,8.40284946,8.33333333,0.834193575,0.0013635385,0.000365345958,-0.13,-0.13,-2.66513867e-10,0.0300000003,0.0300000005,26.2513575,16.0467967,2.52719763,1.58937656,16.3342986,16.6666667,1.9942082,0.193846712,0.0219520253,-0.00351190927,30,23,-5.65823455e-06,0.000328284691,5.73094003e-05,-1,0.0001,23,1.38145443,0.320744261,1.38145443,0.320744261
4740,0.474,control,0.0001,50,-2.01296579e-10,0,2.01296579e-10,2.0585459e-10,0,0.192120348,0.113612049,8.40209712,8.33333333,0.825165381,0.00136602898,0.000366054959,-0.13,-0.13,-2.01308581e-10,0.0300000002,0.0300000004,26.2471868,16.0576929,2.51660103,1.57996618,16.3311832,16.6666667,2.01290071,0.193783668,0.0221708041,-0.00256933773,30,22,-4.74154278e-06,0.000342781344,6.35524695e-05,-1,0.0001,22,1.37427276,0.321233152,1.37427276,0.321233152
